path,owner,wave,kind,notes
.gitattributes,PLAN,-,frozen,Written before the transition starts; no agent edits it. A change needs the user and a new plan commit on dev/eb.
.docs/transition/plan.qmd,PLAN,-,frozen,Written before the transition starts; no agent edits it. A change needs the user and a new plan commit on dev/eb.
.docs/transition/contract.qmd,PLAN,-,frozen,Written before the transition starts; no agent edits it. A change needs the user and a new plan commit on dev/eb.
.docs/transition/orchestrator-prompt.md,PLAN,-,frozen,Written before the transition starts; no agent edits it. A change needs the user and a new plan commit on dev/eb.
.docs/transition/packages/**,PLAN,-,frozen,Written before the transition starts; no agent edits it. A change needs the user and a new plan commit on dev/eb.
.docs/transition/templates/**,PLAN,-,frozen,Written before the transition starts; no agent edits it. A change needs the user and a new plan commit on dev/eb.
.docs/transition/contract/csv_headers.csv,PLAN,-,frozen,Written before the transition starts; no agent edits it. A change needs the user and a new plan commit on dev/eb.
.docs/transition/contract/output_ownership.csv,PLAN,-,frozen,Written before the transition starts; no agent edits it. A change needs the user and a new plan commit on dev/eb.
.docs/transition/contract/geo_codes.csv,PLAN,-,frozen,Written before the transition starts; no agent edits it. A change needs the user and a new plan commit on dev/eb.
.docs/transition/contract/check_contract.R,PLAN,-,frozen,Written before the transition starts; no agent edits it. A change needs the user and a new plan commit on dev/eb.
transition/main,WP00,0,branch,Branch and tag created from dev/eb.
transition-base,WP00,0,branch,Branch and tag created from dev/eb.
data_raw/**,WP01,1,glob,"The 122 legacy files, README.md and CHECKSUMS.sha256."
index.qmd,WP01,1,file,Path strings only in index.qmd; path note only in the findings.
CLAUDE.md,WP01,1,file,Path strings only in index.qmd; path note only in the findings.
.docs/input-tables-findings.qmd,WP01,1,file,Path strings only in index.qmd; path note only in the findings.
INPUT Tables/**,WP01,1,remove,Removed by git mv into data_raw/.
INPUT shp/**,WP01,1,remove,Removed by git mv into data_raw/.
INPUT Text/**,WP01,1,remove,Removed by git mv into data_raw/.
INPUT Figures/**,WP01,1,remove,Removed by git mv into data_raw/.
dsf.qqqww,WP01,1,remove,Removed by git mv into data_raw/.
map_test.png,WP01,1,remove,Removed by git mv into data_raw/.
.docs/data-standard.qmd,WP02,1,file,"Standard v0.4, stages A and B."
pipeline/README.md,WP03,1,code,
pipeline/R/io.R,WP03,1,code,
pipeline/R/constants.R,WP03,1,code,
pipeline/R/codes.R,WP03,1,code,
pipeline/R/ctx.R,WP03,1,code,
pipeline/acceptance/run_all.R,WP03,1,code,
pipeline/tests/testthat.R,WP03,1,code,
pipeline/tests/testthat/helper-temp-root.R,WP03,1,code,
pipeline/tests/testthat/test-io.R,WP03,1,code,
pipeline/tests/testthat/test-codes.R,WP03,1,code,
pipeline/tests/testthat/test-ctx.R,WP03,1,code,
metadata/VERSION,WP03,1,file,CHANGELOG.md is created here; the integrator appends to it afterwards.
metadata/CHANGELOG.md,WP03,1,file,CHANGELOG.md is created here; the integrator appends to it afterwards.
metadata/structure/DSD_AFW360_HH.csv,WP03,1,file,CHANGELOG.md is created here; the integrator appends to it afterwards.
metadata/structure/COLUMNS.csv,WP03,1,file,CHANGELOG.md is created here; the integrator appends to it afterwards.
pipeline/bootstrap/build_small_codelists.R,WP04,2,code,
pipeline/bootstrap/text/small_codelists_text.csv,WP04,2,code,
metadata/codelists/CL_SEX.csv,WP04,2,file,
metadata/codelists/CL_AGE.csv,WP04,2,file,
metadata/codelists/CL_URBANISATION.csv,WP04,2,file,
metadata/codelists/CL_OBS_STATUS.csv,WP04,2,file,
metadata/codelists/CL_THEME.csv,WP04,2,file,
metadata/codelists/CL_UNIT.csv,WP04,2,file,
metadata/codelists/CL_STAT_UNIT.csv,WP04,2,file,
metadata/codelists/CL_STATISTIC.csv,WP04,2,file,
metadata/codelists/CL_WEIGHT.csv,WP04,2,file,
metadata/codelists/CL_AREA.csv,WP04,2,file,
pipeline/bootstrap/build_geo_codelists.R,WP05,2,code,
pipeline/bootstrap/text/geo_schemes_text.csv,WP05,2,code,
pipeline/build_geo.R,WP05,2,code,
pipeline/R/geo.R,WP05,2,code,
pipeline/tests/testthat/test-geo.R,WP05,2,code,
metadata/codelists/CL_GEO_SCHEME.csv,WP05,2,file,
metadata/codelists/CL_GEO.csv,WP05,2,file,
metadata/registries/GEO_SOURCES.csv,WP05,2,file,
geo/boundaries/SEN_CODAB_v02.gpkg,WP05,2,file,
geo/boundaries/GNB_CODAB_V01.gpkg,WP05,2,file,
pipeline/bootstrap/build_breakdowns_qualifiers.R,WP06,2,code,
pipeline/bootstrap/text/breakdowns_qualifiers_text.csv,WP06,2,code,
metadata/codelists/CL_BRK_VAR.csv,WP06,2,file,
metadata/codelists/CL_COMP_BREAKDOWN.csv,WP06,2,file,
metadata/codelists/CL_QUAL_VAR.csv,WP06,2,file,
metadata/codelists/CL_QUALIFIER.csv,WP06,2,file,
pipeline/bootstrap/build_indicators.R,WP07,2,code,
pipeline/bootstrap/text/indicators_text.csv,WP07,2,code,
metadata/codelists/CL_INDICATOR.csv,WP07,2,file,
pipeline/bootstrap/build_plans.R,WP08,2,code,
pipeline/R/plan.R,WP08,2,code,
pipeline/tests/testthat/test-plan.R,WP08,2,code,
pipeline/tests/testthat/helper-data-fixture.R,WP08,2,code,
metadata/plans/SERIES_PLAN.csv,WP08,2,file,
metadata/plans/TAB_PLAN.csv,WP08,2,file,
pipeline/bootstrap/build_legacy_maps.R,WP09,2,code,
metadata/plans/LEGACY_LABELS.csv,WP09,2,file,
metadata/plans/LEGACY_COLUMNS.csv,WP09,2,file,
metadata/plans/LEGACY_OVERRIDES.csv,WP09,2,file,
pipeline/build_content.R,WP10,2,code,
pipeline/R/content.R,WP10,2,code,
pipeline/tests/testthat/test-content.R,WP10,2,code,
pipeline/bootstrap/build_surveys.R,WP10,2,code,
pipeline/bootstrap/text/surveys_text.csv,WP10,2,code,
pipeline/bootstrap/text/figures_text.csv,WP10,2,code,
content/TEXT.csv,WP10,2,file,
content/text/**,WP10,2,file,
assets/figures/**,WP10,2,file,
metadata/registries/FIGURES.csv,WP10,2,file,
metadata/surveys/SURVEYS.csv,WP10,2,file,
pipeline/validate.R,WP11,3,code,
pipeline/R/validate_structure.R,WP11,3,code,
pipeline/R/validate_codes.R,WP11,3,code,
pipeline/R/validate_metadata.R,WP11,3,code,
pipeline/tests/testthat/test-validate-core.R,WP11,3,code,
pipeline/R/validate_coverage.R,WP12,3,code,
pipeline/R/validate_values.R,WP12,3,code,
pipeline/tests/testthat/test-validate-coverage.R,WP12,3,code,
pipeline/R/validate_rules.R,WP13,3,code,
pipeline/tests/testthat/test-validate-rules.R,WP13,3,code,
pipeline/R/validate_assets.R,WP14,3,code,
pipeline/R/validate_text.R,WP14,3,code,
pipeline/tests/testthat/test-validate-assets-text.R,WP14,3,code,
pipeline/convert_legacy.R,WP15,3,code,
pipeline/R/convert_tables.R,WP15,3,code,
pipeline/R/manifest.R,WP15,3,code,
pipeline/tests/testthat/test-convert.R,WP15,3,code,
data/AFW360_HH_SEN_2021.csv,WP15,3,data,
data/AFW360_HH_SEN_2021_manifest.csv,WP15,3,data,
data/AFW360_HH_GNB_2021.csv,WP15,3,data,
