row_id,sheet,legacy_label,action,duplicate_of,INDICATOR,MEASURE_QUALS,DEFINING_BREAKDOWN,series_id,stat_unit,statistic,weight,unit_measure,unit_denom,unit_time,price_basis,scale,display_as,decimals,ref_period,valid_min,valid_max,assert_rule,hard_case,status,notes
L001,*,"Access to electricity (grid, SDG 7.1.1)",MAP,,EN_ELEC_ACCESS,,,EN_ELEC_ACCESS,HH,PROPORTION,HH,SHARE,,,,1,PERCENT,1,INTERVIEW,0,1,,H7,DRAFT,sdg_indicator 7.1.1; distinguish from EN_GRID_CONN/EN_GRID_USE (H7); DRAFT pending definition
L002,*,Any power outage in last 7 days (grid-connected),MAP,,EN_OUTAGE_ANY,,,EN_OUTAGE_ANY,HH,PROPORTION,HH,SHARE,,,,1,PERCENT,1,P7D,0,1,,,DRAFT,universe: grid-connected HH
L003,*,Average outage duration (code),MAP,,EN_OUTAGE_DUR_CODE,,,EN_OUTAGE_DUR_CODE,HH,MEAN,HH,INDEX,,,,1,NUMBER,2,INTERVIEW,0,,,H8,DRAFT,"ordinal code, not a share; checks RANGE_NONNEG; may be deprecated for shares by duration class (H8); weight/statistic guessed, LEGACY assumed"
L004,*,COICOP 10: education (share),MAP,,CONS_SH,COICOP_CP10,,CONS_SH.COICOP_CP10,HH,MEAN,HH,SHARE,,,,1,PERCENT,1,INTERVIEW,0,1,,,DRAFT,"statistic MEAN, to confirm; weight LEGACY assumed"
L005,*,COICOP 11: restaurants & hotels (share),MAP,,CONS_SH,COICOP_CP11,,CONS_SH.COICOP_CP11,HH,MEAN,HH,SHARE,,,,1,PERCENT,1,INTERVIEW,0,1,,,DRAFT,"statistic MEAN, to confirm; weight LEGACY assumed"
L006,*,COICOP 12: insurance & financial (share),MAP,,CONS_SH,COICOP_CP12,,CONS_SH.COICOP_CP12,HH,MEAN,HH,SHARE,,,,1,PERCENT,1,INTERVIEW,0,1,,,DRAFT,"statistic MEAN, to confirm; weight LEGACY assumed"
L007,*,COICOP 13: personal care & effects (share),MAP,,CONS_SH,COICOP_CP13,,CONS_SH.COICOP_CP13,HH,MEAN,HH,SHARE,,,,1,PERCENT,1,INTERVIEW,0,1,,,DRAFT,"statistic MEAN, to confirm; weight LEGACY assumed"
L008,*,COICOP 1: food & non-alc. beverages (share),MAP,,CONS_SH,COICOP_CP01,,CONS_SH.COICOP_CP01,HH,MEAN,HH,SHARE,,,,1,PERCENT,1,INTERVIEW,0,1,,,DRAFT,"statistic MEAN, to confirm; weight LEGACY assumed"
L009,*,COICOP 2: alcohol & tobacco (share),MAP,,CONS_SH,COICOP_CP02,,CONS_SH.COICOP_CP02,HH,MEAN,HH,SHARE,,,,1,PERCENT,1,INTERVIEW,0,1,,,DRAFT,"statistic MEAN, to confirm; weight LEGACY assumed"
L010,*,COICOP 3: clothing & footwear (share),MAP,,CONS_SH,COICOP_CP03,,CONS_SH.COICOP_CP03,HH,MEAN,HH,SHARE,,,,1,PERCENT,1,INTERVIEW,0,1,,,DRAFT,"statistic MEAN, to confirm; weight LEGACY assumed"
